ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc
93,Belgium,1,5,AlfaRomeo,alfa 33,alfa romeo,33,Italy,Italy,compact,0,Fiat,1615,1351,65,940,5,5,407.5,161.5,135,5.8000002,7.8000002,9.5,7.7000003,178,11.5,449500,.61186194,9249.9492,200.11212,2246.2407,48.594864,116.71667,109.25851,108.62782,94.70903,.021633863,.19499999,10080000,7405199949824,6659700162560,152386469888,137045352448,15117.705,13595.77
94,Belgium,1,5,AlfaRomeo,alfa 33,alfa romeo,33,Italy,Italy,compact,0,Fiat,1095,1351,65,970,5,5,407.5,161.5,135,5.8000002,7.8000002,9.5,7.7000003,178,11.5,462900,.60119975,9776.4355,200.46729,2309.105,47.348545,121.44167,113.31228,111.21077,96.222595,.020505151,.205,10090000,7768900108288,6831000256512,164078960640,144270540800,16261.542,14298.369
86,Belgium,2,4,AlfaRomeo,alfa 75,alfa romeo,75,Italy,Italy,intermediate,0,AlfaRomeo,775,1779,88.5,1060,5,4,433,163,140,7,9.1999998,12.2,9.4666662,190,9.5,542000,1.0509784,10459.179,312.70065,1733.2871,51.820515,80.308334,85.047867,91.255554,98.115952,.029897248,.25,9860000,5084899966976,5728999833600,98125234176,110554669056,9951.8496,11212.441
87,Belgium,2,4,AlfaRomeo,alfa 75,alfa romeo,75,Italy,Italy,intermediate,0,Fiat,997,1779,88.5,1060,5,4,433,163,140,7,9.1999998,12.2,9.4666662,190,9.5,557500,1.034562,11586.673,332.56177,1676.3802,48.115623,84.116669,87.594215,92.674103,93.25135,.028702093,.25,9870000,5318699909120,5864300216320,110539980800,121879339008,11199.593,12348.464
88,Belgium,2,4,AlfaRomeo,alfa 75,alfa romeo,75,Italy,Italy,intermediate,0,Fiat,1263,1567,81,1060,5,4,433,163,140,6.9000001,9.3999996,11.8,9.3666668,180,10.7,525000,.91352499,10538.126,298.15234,1760.8448,49.819103,88.391663,90.700752,93.751022,94.784035,.028292727,.25,9900000,5689499975680,6141100163072,114203181056,123267981312,11535.675,12451.312
89,Belgium,2,4,AlfaRomeo,alfa 75,alfa romeo,75,Italy,Italy,intermediate,0,Fiat,1200,1570,81,1090,5,4,433,163,140,6.9000001,9.3999996,11.8,9.3666668,180,10.7,530000,.85420114,10628.381,304.06638,1743.0405,49.866486,93.916672,96.017517,96.662415,101.00563,.028608907,.25,9940000,6167400022016,6361400213504,123678253056,127568650240,12442.48,12833.868
90,Belgium,2,4,AlfaRomeo,alfa 75,alfa romeo,75,Italy,Italy,intermediate,0,Fiat,1064,1570,79,1090,5,4,433,163,140,9.3999996,9.3999996,9.3999996,9.3999996,180,11.3,549000,.83509243,12197.085,338.55188,1621.6125,45.010754,99.966667,100,100,100,.027756786,.25,9970000,6554400063488,6554400063488,145618534400,145618534400,14605.671,14605.671
91,Belgium,2,4,AlfaRomeo,alfa 75,alfa romeo,75,Italy,Italy,intermediate,0,Fiat,801,1570,76,1090,5,4,433,163,140,6.9000001,9.3999996,11.8,9.3666668,180,11.3,549000,.79765606,11668.287,321.633,1706.9144,47.05061,106.25,103.34081,103.20855,98.951965,.027564716,.25,9980000,6868899987456,6659199991808,145989599232,141532708864,14628.217,14181.634
92,Belgium,2,4,AlfaRomeo,alfa 75,alfa romeo,75,Italy,Italy,intermediate,0,Fiat,230,1570,77,1090,5,4,433,163,140,6.6999998,8.8999996,10,8.5333328,180,11.3,531111,.73840928,11819.373,295.43839,1797.7047,44.935631,111.74167,105.2964,105.71643,97.173737,.024996113,.19499999,10050000,7228599828480,6758599753728,160865665024,150406250496,16006.534,14965.796
89,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,920,1962,109,1200,5,4,455.5,176,140,6.5,8.5,10,8.333333,210,9.1999998,882500,1.4223255,17697.256,506.29919,1743.0405,49.866486,93.916672,96.017517,96.662415,101.00563,.028608907,.25,9940000,6167400022016,6361400213504,123678253056,127568650240,12442.48,12833.868
90,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,895,1962,109,1200,5,4,455.5,176,140,8.3000002,8.3000002,8.3000002,8.3000002,210,9.1999998,900000,1.369004,19995.223,555.00311,1621.6125,45.010754,99.966667,100,100,100,.027756786,.25,9970000,6554400063488,6554400063488,145618534400,145618534400,14605.671,14605.671
91,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,1018,1962,107,1200,5,4,455.5,176,140,6.5,8.5,10,8.333333,210,9.1999998,915000,1.3294268,19447.145,536.05499,1706.9144,47.05061,106.25,103.34081,103.20855,98.951965,.027564716,.25,9980000,6868899987456,6659199991808,145989599232,141532708864,14628.217,14181.634
92,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,664,1962,107,1300,5,4,455.5,176,140,6.4000001,8,10,8.1333332,210,9.3000002,890992,1.2387557,19828.186,495.62756,1797.7047,44.935631,111.74167,105.2964,105.71643,97.173737,.024996113,.19499999,10050000,7228599828480,6758599753728,160865665024,150406250496,16006.534,14965.796
93,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,459,1995,106,1380,5,4,455.5,176,139,6.5,8.3000002,9.6999998,8.166667,210,9.8999996,989000,1.3462323,20351.945,440.2912,2246.2407,48.594864,116.71667,109.25851,108.62782,94.70903,.021633863,.19499999,10080000,7405199949824,6659700162560,152386469888,137045352448,15117.705,13595.77
94,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,362,1995,106,1380,5,4,455.5,176,139,6.5,8.3000002,9.6999998,8.166667,210,9.8999996,998000,1.2961706,21077.732,432.20209,2309.105,47.348545,121.44167,113.31228,111.21077,96.222595,.020505151,.205,10090000,7768900108288,6831000256512,164078960640,144270540800,16261.542,14298.369
95,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,129,1995,106,1380,5,4,455.5,176,139,6.5,8.3000002,9.6999998,8.166667,210,9.8999996,999000,1.2555447,22634.273,398.60651,2506.231,44.136604,127.76667,122.22449,112.84203,99.307602,.017610749,.205,10140000,8068100259840,6990699954176,182798385152,158387814400,18027.455,15620.1
96,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,79,1995,106,1380,5,4,466.5,176,139,6.5,8.3000002,9.6999998,8.166667,210,9.8999996,1009000,1.2343547,22323.51,453.22684,2226.2583,45.198986,132.83264,124.53657,115.16536,101.31741,.02030267,.20999999,10160000,8305099931648,7080900034560,183745265664,156660596736,18085.164,15419.35
97,Belgium,3,1,AlfaRomeo,alfa 164,alfa romeo,164,Italy,Italy,luxury,0,Fiat,65,1995,106,1380,5,4,467,176,139,6.5,8.3000002,9.6999998,8.166667,210,9.8999996,1015000,1.1921906,20524.289,431.03806,2354.7805,49.453602,135.54654,126.14586,117.03963,105.13853,.021001363,.20999999,10190000,8675499966464,7334250151936,175427059712,148305674240,17215.609,14554.041
